lag,R2,coef,p-value
0,0.678523486974193,0.0008157455780948674,7.402932561298486e-31
1,0.7329661023883483,0.0008478074653146125,2.4388862500608663e-35
2,0.6882305275501226,0.0008226703936347246,3.8958694018104616e-31
3,0.6219303674076025,0.0007841074018354036,4.807573682020589e-26
4,0.5216092725528363,0.0007207434386616356,5.72941045549474e-20
5,0.41452425211911503,0.000644877647582174,8.4088445379996e-15
6,0.22759531791001741,0.00048686116495947636,8.035187978706303e-08
7,0.08727521208936317,0.00030761833035294043,0.0014896223718202128
8,0.01582392040080438,0.00013260244735318626,0.18630427014496648
9,0.0024191274226139647,-5.251977472256388e-05,0.6082054984151668
