lag,R2,coef,p-value,AIC,BIC
0,0.00986388751227496,-20.656463324877194,0.2804773517656194,760.5025468588102,766.0775303443743
1,0.002925098179460628,-11.331151851428928,0.559093147947704,754.7683936454515,760.3266406316745
2,0.0017311357441397446,-8.825178201677772,0.6546228365055131,748.4834862221126,754.0248554710439
3,0.00082894761833463,-6.196122700928785,0.7579702026941658,742.228999981256,747.7533478508516
4,0.00046308963909991174,-4.697826950367798,0.8186444355796185,735.9641862103368,741.4713665925495
5,8.310665228561387e-05,2.011588438948081,0.9229683785881768,729.7414390558188,735.2313033125453
6,0.0010093213430170112,7.12230277155993,0.7372062622125994,723.4539765416487,728.9263734384376
7,0.0030482890249291517,12.565772292920636,0.5613604170732033,717.0596090192058,722.5143846566305
8,0.006448441263222082,18.460017764922142,0.3999755127291875,710.4891560674807,715.9261538100709
9,0.015276233743337975,28.54984863860213,0.19621978215736274,703.2981884891113,708.7172488917361
